,hora,temp_inst,umid_inst,vento_rajada,diff_wind
160,16,30.9,49,9.5,4.7
161,17,30.3,49,9.2,5.6
162,18,30.6,49,8.0,4.5
163,19,30.1,54,7.9,4.800000000000001
164,20,28.2,63,7.8,4.699999999999999
165,21,27.2,72,6.5,4.4
166,22,27.0,74,4.8,3.3
167,23,26.9,76,4.7,3.6
168,0,27.2,76,3.9,2.5999999999999996
169,1,27.2,78,3.8,2.5
170,2,27.3,81,4.7,2.8000000000000003
171,3,27.2,79,4.9,3.2
172,4,27.1,77,5.8,3.8
173,5,26.8,81,5.0,3.2
174,6,25.7,89,7.5,6.8
175,7,25.3,89,6.0,5.2
176,8,24.1,90,8.8,6.200000000000001
177,9,24.3,91,8.8,7.4
178,10,25.0,91,4.1,2.8
179,11,26.8,80,5.6,3.3999999999999995
180,12,27.9,67,7.7,5.2
181,13,29.5,61,7.3,4.199999999999999
182,14,30.8,57,7.7,4.800000000000001
183,15,29.7,57,7.3,4.699999999999999
184,16,30.8,57,7.0,4.7
185,17,30.5,56,7.0,3.9
186,18,30.2,55,7.5,4.1
187,19,29.8,55,8.5,5.3
188,20,28.4,62,7.1,3.4999999999999996
189,21,27.1,71,6.7,4.6
190,22,26.8,75,4.8,3.1999999999999997
191,23,26.8,78,3.8,2.6999999999999997
192,0,26.7,80,3.2,2.4000000000000004
193,23,26.8,77,4.3,3.0
194,22,27.0,76,4.6,3.0999999999999996
195,21,27.3,75,6.8,4.6
196,20,28.2,68,6.8,3.9
197,19,29.5,60,6.5,3.4
198,18,29.9,59,8.2,5.299999999999999
199,17,30.2,60,7.7,4.4
200,16,30.8,56,7.7,4.300000000000001
201,15,30.9,55,7.7,4.0
202,14,30.8,52,8.1,5.1
203,13,30.0,58,7.1,4.8
204,12,28.8,64,7.5,4.7
205,11,28.1,71,6.0,3.1
206,10,25.6,81,2.6,1.2000000000000002
207,9,24.8,82,2.8,1.7999999999999998
208,8,25.1,82,4.0,2.9
209,7,26.7,75,5.7,3.9000000000000004
210,6,27.0,78,5.5,3.2
211,5,27.0,80,5.1,2.3999999999999995
212,4,26.8,78,5.0,4.0
213,3,27.2,78,5.8,4.1
