,hora,temp_inst,umid_inst,vento_rajada,diff_wind
699,19,28.7,63,9.2,5.499999999999999
700,14,29.5,56,9.6,5.6
701,22,26.5,78,10.3,6.200000000000001
702,18,29.7,58,10.3,5.9
703,17,30.6,56,12.0,9.0
704,0,25.1,81,3.9,2.5
705,1,24.8,82,3.3,2.1999999999999997
706,2,24.2,84,2.8,1.5999999999999999
707,3,23.5,87,2.8,1.6999999999999997
708,4,23.1,89,2.4,1.2
709,5,23.4,84,4.9,2.9000000000000004
710,6,22.9,79,7.4,5.1000000000000005
711,7,22.5,78,7.4,5.6000000000000005
712,8,22.0,79,5.4,3.4000000000000004
713,9,21.6,82,5.0,3.1
714,10,23.4,77,7.5,5.4
715,11,25.4,67,7.5,4.1
716,12,27.5,60,9.5,6.5
717,13,28.7,59,9.6,5.8999999999999995
718,16,30.6,55,10.3,6.800000000000001
719,23,26.2,80,9.6,6.1
720,20,27.4,68,8.9,5.800000000000001
721,0,25.5,83,10.4,6.0
722,1,24.8,87,11.6,8.6
723,12,27.0,72,9.0,6.2
724,13,28.8,63,9.0,4.9
725,14,28.9,61,9.9,5.7
726,15,29.6,56,11.2,6.299999999999999
727,16,30.0,50,12.5,8.0
728,17,29.7,56,12.5,8.3
729,18,29.2,61,10.3,6.300000000000001
730,19,28.6,64,9.3,5.500000000000001
731,21,26.4,73,7.8,5.4
