,vento_vel
1424,98
1425,149
1426,139
1427,159
1428,116
1429,149
1430,105
1431,158
1432,136
1433,114
1434,145
1435,116
1436,143
1437,107
1438,99
1439,139
1440,159
1441,96
1442,110
1443,106
1444,129
1445,113
1446,166
1447,108
1448,164
1449,154
1450,109
1451,106
1452,168
1453,113
1454,119
1455,133
1456,163
1457,166
1458,92
1459,99
1460,106
1461,116
1462,97
1463,105
