,i,j,rmse,r2
0,30.0,30.0,0.16802186278805986,0.0028151207529655276
1,30.0,60.0,0.19404657452271287,0.00218746963913119
2,30.0,90.0,0.19498098807291936,0.004756724576803983
3,30.0,120.0,0.1810115638915815,-0.014744505957705378
4,30.0,150.0,0.18772571846403813,0.0007864035414963944
5,30.0,180.0,0.1832571268341076,-0.014145674342606718
6,30.0,210.0,0.18549593587864413,-0.01475425585362422
7,30.0,240.0,0.17922437812040848,-0.013987462261844552
8,30.0,270.0,0.20575098404700332,-0.09455206437736186
9,30.0,300.0,0.17698338177481981,-0.015734833785102653
10,30.0,330.0,0.18429775665929046,-0.006670098146001502
11,30.0,360.0,0.1825073982151335,-0.0009247299573296175
12,30.0,390.0,0.19266087150993888,-0.05020184380103809
13,30.0,420.0,0.18410291854356126,-0.03206446892227377
14,30.0,450.0,0.18241059579525826,-0.018908549435991073
15,30.0,480.0,0.19560836959916375,-0.07377976324129354
16,30.0,510.0,0.18779560705386353,-0.02631220972857795
17,30.0,540.0,0.19236278618754482,-0.052431367966035536
18,30.0,570.0,0.18141424121721647,-0.008845725955118455
19,30.0,600.0,0.18773388453217463,0.011667744720449513
20,60.0,30.0,0.1849805235162601,-0.02632678648276432
21,60.0,60.0,0.18228871594704552,0.0031238069123489254
22,60.0,90.0,0.202994103338655,-0.03359086670124678
23,60.0,120.0,0.18968116233657317,-0.010760542577709753
24,60.0,150.0,0.19089411766211684,-0.03214733448319196
25,60.0,180.0,0.1714238303687159,-0.013238995698274136
26,60.0,210.0,0.18669117238285537,-0.008927164803094856
27,60.0,240.0,0.17973759596550068,-0.03655494012117644
28,60.0,270.0,0.17725470544734245,-0.09117144581624381
29,60.0,300.0,0.18619933298835814,-0.04114931200515337
30,60.0,330.0,0.19444363628231487,-0.09284355349598994
31,60.0,360.0,0.18845333565443168,0.00543555469987389
32,60.0,390.0,0.19133241350437788,-0.07886593914779172
33,60.0,420.0,0.19840949739811067,-0.052956633796636066
34,60.0,450.0,0.1888722596153504,-0.06663785778020426
35,60.0,480.0,0.19792638646074084,-0.0027407023583669865
36,60.0,510.0,0.22063265437313806,-0.43852682714878166
37,60.0,540.0,0.18571066713951084,-0.039327136375672866
38,60.0,570.0,0.18132043622776806,-0.02751020065541243
39,60.0,600.0,0.18215096673113323,-0.01281045356147481
40,90.0,30.0,0.17387120523923008,-0.0016936323922105423
41,90.0,60.0,0.1948130087745015,-0.1371121616905231
42,90.0,90.0,0.1827309280840667,0.00047683147982602314
43,90.0,120.0,0.18399459018599784,-0.0045127798160145005
44,90.0,150.0,0.1827810085247185,-0.11823687180643772
45,90.0,180.0,0.18828149445669676,0.0016820109212083434
46,90.0,210.0,0.19646600609530418,-0.03946934314204853
47,90.0,240.0,0.1837425698292055,-0.017083563392765955
48,90.0,270.0,0.1823929251992127,-0.005186603329562223
49,90.0,300.0,0.19147033014461154,-0.0323349483409463
50,90.0,330.0,0.19397450918425357,-0.12753025660099748
51,90.0,360.0,0.19511906104834692,-0.06711040533774604
52,90.0,390.0,0.18417155917378542,-0.005055304984086684
53,90.0,420.0,0.19746271813230437,-0.12410233400217963
54,90.0,450.0,0.17514337680891476,-0.006358613415067715
55,90.0,480.0,0.18213301111391356,0.01118064615750769
