,vento_vel
1646,169
1647,140
1648,97
1649,95
1650,97
1651,94
1652,100
1653,100
1654,104
1655,112
1656,107
1657,116
1658,125
1659,129
1660,134
1661,147
1662,159
1663,156
1664,158
1665,158
1666,164
1667,167
1668,160
1669,148
1670,147
1671,106
1672,101
1673,96
1674,99
1675,96
1676,104
1677,105
1678,109
1679,127
1680,142
1681,175
1682,141
1683,152
1684,156
1685,159
1686,172
1687,172
1688,171
1689,173
1690,176
1691,172
1692,149
1693,154
1694,128
1695,115
1696,105
1697,104
1698,91
1699,98
1700,95
1701,101
1702,107
1703,119
1704,126
1705,112
1706,112
1707,116
1708,119
1709,136
1710,145
1711,162
1712,158
1713,163
1714,161
1715,152
1716,145
1717,147
1718,127
1719,111
1720,96
1721,93
1722,94
1723,88
1724,101
1725,108
1726,105
1727,105
1728,110
1729,116
1730,125
1731,125
1732,122
1733,130
1734,152
1735,157
1736,165
1737,156
1738,157
1739,145
1740,150
1741,149
1742,119
1743,107
1744,113
1745,102
1746,97
1747,99
1748,97
1749,99
1750,104
1751,108
1752,104
1753,110
1754,112
1755,123
1756,133
1757,159
1758,168
1759,170
1760,167
1761,154
1762,166
1763,168
1764,168
1765,159
1766,150
1767,146
1768,88
1769,96
1770,79
1771,85
1772,97
1773,92
1774,100
1775,96
1776,98
1777,104
1778,100
1779,103
1780,115
1781,113
1782,128
1783,132
1784,168
1785,148
1786,140
1787,146
1788,146
1789,135
1790,125
1791,105
1792,101
1793,104
1794,115
1795,108
1796,100
1797,96
1798,105
1799,100
1800,102
1801,104
1802,103
1803,106
1804,110
1805,128
1806,139
1807,141
1808,152
1809,167
1810,161
1811,142
1812,143
1813,146
1814,128
1815,106
1816,109
1817,108
1818,106
1819,103
1820,104
1821,99
1822,105
1823,109
1824,109
1825,109
1826,111
1827,114
1828,119
1829,129
1830,132
1831,162
1832,142
1833,169
1834,159
1835,152
1836,154
1837,164
1838,160
1839,162
1840,148
1841,114
1842,100
1843,98
1844,99
1845,96
1846,99
1847,113
1848,103
1849,104
1850,108
1851,118
1852,118
1853,126
1854,132
1855,145
1856,152
1857,163
1858,159
1859,150
1860,143
1861,144
1862,116
1863,107
1864,106
1865,112
1866,97
1867,95
1868,98
1869,99
1870,101
1871,106
1872,104
1873,100
1874,108
1875,116
1876,120
1877,133
1878,171
1879,168
1880,168
1881,177
1882,173
1883,153
1884,148
1885,127
1886,125
1887,100
1888,113
1889,99
1890,103
1891,103
1892,100
1893,102
1894,122
1895,112
1896,116
1897,115
1898,134
1899,152
1900,166
1901,152
1902,162
1903,173
1904,170
1905,169
1906,166
1907,158
1908,149
1909,126
1910,129
1911,108
1912,106
1913,97
1914,90
1915,85
1916,93
1917,82
1918,96
1919,103
1920,97
1921,108
1922,107
1923,110
1924,116
1925,123
1926,131
1927,154
1928,161
1929,163
1930,169
1931,152
1932,148
1933,132
1934,116
1935,103
1936,105
1937,93
1938,78
1939,89
1940,95
1941,97
1942,87
1943,97
1944,90
1945,96
1946,97
1947,97
1948,98
1949,104
1950,124
1951,140
1952,154
1953,171
1954,161
1955,142
1956,125
1957,120
1958,125
1959,105
1960,112
1961,106
1962,98
1963,99
1964,90
1965,100
1966,92
1967,96
1968,97
1969,101
1970,116
1971,106
1972,107
1973,121
1974,116
1975,154
1976,166
1977,155
1978,171
1979,140
1980,140
1981,117
1982,102
1983,109
1984,103
1985,81
1986,86
1987,92
1988,93
1989,94
1990,100
1991,108
1992,102
1993,108
1994,106
1995,111
1996,117
1997,119
1998,121
1999,131
2000,137
2001,164
2002,155
2003,149
2004,156
2005,165
2006,144
2007,100
2008,105
2009,101
2010,97
2011,99
2012,96
2013,104
2014,100
2015,100
