,hora,temp_inst,umid_inst,pto_orvalho_inst,pressao,vento_rajada,radiacao,precipitacao,diff_temp,diff_umid,diff_dew,diff_pressure,diff_wind,vento_vel
47,23,26.5,81,23.1,1010.0,3.0,-3.53,0.0,0.3999999999999986,2,0.3000000000000007,0.5,2.3,138
48,0,25.6,86,23.1,1010.5,1.7,-3.54,0.0,1.0,5,0.3000000000000007,0.5,1.2,178
49,1,25.3,88,23.2,1010.8,1.2,-3.15,0.0,0.3000000000000007,2,0.4000000000000021,0.2999999999999545,1.1,213
50,2,25.8,88,23.6,1010.9,1.4,-0.69,0.0,0.5,1,0.3000000000000007,0.10000000000002274,0.7999999999999999,207
51,3,26.3,86,23.7,1010.5,2.0,-2.57,0.0,0.5,2,0.09999999999999787,0.3999999999999773,1.6,158
52,4,26.0,86,23.4,1010.1,2.6,-3.03,0.0,0.4000000000000021,1,0.20000000000000284,0.3999999999999773,2.2,151
53,5,26.4,80,22.6,1009.8,4.3,-3.48,0.0,0.8000000000000007,7,1.0,0.3000000000000682,2.9,132
54,6,25.4,85,22.6,1009.8,4.6,-3.53,0.0,1.099999999999998,5,0.1999999999999993,0.09999999999990904,3.8,159
55,7,24.6,87,22.4,1009.9,2.3,-3.47,0.0,0.8999999999999986,3,0.3999999999999986,0.10000000000002274,1.6,173
56,8,24.8,86,22.3,1010.4,2.7,-3.48,0.0,0.2999999999999972,2,0.3000000000000007,0.5,1.5000000000000002,178
57,9,24.4,86,22.0,1010.7,2.8,3.011,0.0,0.6000000000000014,1,0.5,0.3000000000000682,1.2999999999999998,182
58,10,26.1,79,22.2,1011.6,4.3,278.7,0.0,1.7000000000000028,7,0.5,0.8999999999999773,2.4,165
59,11,27.8,70,21.9,1012.3,6.6,993.0,0.0,1.6999999999999993,9,0.6000000000000014,0.6999999999999318,3.7,154
60,12,28.3,69,22.2,1012.9,7.7,1315.0,0.0,0.6999999999999993,3,0.6999999999999993,0.6000000000000227,3.9,163
61,13,29.5,59,20.8,1013.0,8.4,1735.0,0.0,1.7999999999999972,11,2.1999999999999997,0.20000000000004547,4.800000000000002,155
62,14,29.9,54,19.6,1012.7,9.1,2195.0,0.0,1.1000000000000014,9,2.0,0.3999999999999773,6.0,133
63,15,31.0,55,20.8,1011.6,8.7,2046.0,0.0,1.3999999999999986,7,1.599999999999998,1.1000000000000227,5.6,130
64,16,30.3,60,21.5,1010.9,7.3,1431.0,0.0,1.900000000000002,10,1.3000000000000007,0.7000000000000455,3.9,102
65,17,30.0,61,21.8,1010.1,7.2,1605.0,0.0,1.5,7,1.0,0.6999999999999318,4.300000000000002,111
66,18,29.9,58,20.9,1009.8,6.9,1681.0,0.0,1.0,5,1.5,0.3999999999999773,4.300000000000002,100
67,19,29.7,61,21.4,1009.7,5.5,1148.0,0.0,1.099999999999998,5,1.0,0.1999999999999318,2.9,104
68,20,28.6,66,21.5,1009.9,6.0,601.4,0.0,1.1999999999999993,5,0.5999999999999979,0.2999999999999545,3.9,95
69,21,27.2,73,22.0,1010.2,5.7,62.99,0.0,1.3000000000000007,7,0.5,0.3000000000000682,4.2,89
70,22,26.7,77,22.4,1010.8,4.9,-3.54,0.0,0.6999999999999993,4,0.3999999999999986,0.5999999999999089,3.6000000000000005,106
71,23,26.1,81,22.6,1011.5,3.1,-3.54,0.0,0.6999999999999993,4,0.3999999999999986,0.7000000000000455,2.0,100
72,0,26.7,79,22.8,1012.2,3.6,-3.53,0.0,0.5999999999999979,2,0.1999999999999993,0.7000000000000455,2.0,97
73,1,27.2,78,23.0,1012.6,5.7,-3.5,0.0,0.5999999999999979,2,0.3000000000000007,0.3999999999999773,3.4000000000000004,99
74,2,27.0,78,22.9,1012.6,6.5,-3.53,0.0,0.3999999999999986,1,0.3999999999999986,0.10000000000002274,4.2,108
75,3,26.8,78,22.6,1012.2,5.2,-3.53,0.0,0.4000000000000021,1,0.5,0.5,3.1,113
76,4,26.8,78,22.6,1011.7,4.4,-2.83,0.0,0.3999999999999986,2,0.1999999999999993,0.5999999999999089,2.6000000000000005,137
77,5,25.2,85,22.6,1011.0,3.9,-3.24,0.0,1.6000000000000014,8,0.3000000000000007,0.7000000000000455,3.0,198
78,6,24.7,87,22.4,1010.9,2.7,-3.44,0.0,0.6000000000000014,2,0.4000000000000021,0.10000000000002274,1.6,186
79,7,24.5,88,22.3,1010.9,2.7,-3.19,0.0,0.3000000000000007,1,0.3000000000000007,0.10000000000002274,1.2000000000000002,183
80,8,24.1,87,21.9,1011.5,3.5,-3.52,0.0,0.5999999999999979,2,0.5999999999999979,0.6000000000000227,2.3,185
81,9,24.1,87,21.8,1011.9,2.9,5.21,0.0,0.3000000000000007,1,0.1999999999999993,0.3999999999999773,1.5,177
82,10,25.7,81,22.1,1012.9,5.1,275.0,0.0,1.599999999999998,6,0.5999999999999979,1.0,2.7,179
83,11,27.4,72,22.0,1013.6,5.9,1003.0,0.0,1.8000000000000007,9,0.8999999999999986,0.8000000000000682,3.1000000000000005,152
84,12,28.0,68,21.6,1014.1,6.4,1171.0,0.0,1.2000000000000028,6,1.0,0.5,3.4000000000000004,160
85,13,28.3,65,21.2,1014.0,7.8,1494.0,0.0,1.8000000000000007,8,1.8000000000000007,0.10000000000002274,5.199999999999998,167
86,14,30.3,58,21.1,1013.4,6.8,1726.0,0.0,2.3000000000000007,10,1.6999999999999993,0.7000000000000455,3.7,137
87,15,29.3,62,21.3,1012.4,7.4,1375.0,0.0,2.0,7,1.6999999999999993,1.0,4.1000000000000005,124
88,16,29.8,60,21.2,1011.3,8.1,1630.0,0.0,2.1000000000000014,8,1.3999999999999986,1.1000000000000227,4.6,107
89,17,30.0,61,21.6,1010.4,8.2,1709.0,0.0,1.3999999999999986,5,1.1999999999999993,0.8999999999999773,4.499999999999999,112
90,18,29.9,61,21.5,1010.0,7.6,1654.0,0.0,1.1000000000000014,4,1.0,0.3999999999999773,4.6,107
91,19,29.2,63,21.3,1009.9,6.8,1294.0,0.0,0.8000000000000007,5,0.8999999999999986,0.20000000000004547,3.9,96
92,20,28.1,68,21.5,1010.2,6.3,668.6,0.0,1.2999999999999972,6,0.5,0.3000000000000682,3.5,99
93,21,27.0,74,22.0,1010.5,6.4,69.13,0.0,1.1000000000000014,6,0.6000000000000014,0.2999999999999545,4.800000000000002,99
94,22,26.8,77,22.4,1011.0,4.3,-3.54,0.0,0.6000000000000014,3,0.2999999999999972,0.5,3.0,84
95,23,26.4,79,22.5,1011.6,3.8,-3.54,0.0,0.5,2,0.4000000000000021,0.6000000000000227,2.4,102
96,0,26.2,81,22.7,1012.1,3.8,-3.53,0.0,0.5,3,0.3000000000000007,0.5,2.6,102
97,1,26.1,82,22.8,1012.3,3.7,-3.53,0.0,0.2999999999999972,2,0.2999999999999972,0.2999999999999545,2.5,103
98,2,26.3,82,22.9,1012.3,3.1,-3.53,0.0,0.1999999999999993,1,0.3000000000000007,0.10000000000002274,1.8,104
99,3,26.4,80,22.7,1012.1,3.8,-3.4,0.0,0.3000000000000007,2,0.1999999999999993,0.2999999999999545,2.6,102
100,4,26.8,78,22.7,1011.7,4.4,-2.86,0.0,0.5,2,0.2999999999999972,0.3999999999999773,2.9000000000000004,110
101,5,26.7,77,22.4,1011.0,4.7,-3.4,0.0,0.2999999999999972,2,0.5,0.7000000000000455,3.0,133
102,6,26.6,79,22.5,1010.6,5.0,-3.1,0.0,0.3999999999999986,2,0.3000000000000007,0.3999999999999773,3.7,147
103,7,25.2,85,22.5,1010.5,3.3,-3.09,0.0,1.400000000000002,6,0.3000000000000007,0.3000000000000682,2.9,177
104,8,24.9,87,22.6,1010.6,2.6,-3.42,0.0,0.5,3,0.3000000000000007,0.20000000000004547,1.2000000000000002,174
105,9,24.4,87,22.2,1010.6,3.4,4.755,0.0,0.5,1,0.5,0.2999999999999545,1.7,173
106,10,25.6,82,22.3,1011.3,4.5,219.3,0.0,1.400000000000002,5,0.4000000000000021,0.6999999999999318,2.4,170
107,11,28.1,75,23.2,1011.9,5.9,912.9,0.0,2.5,8,0.8999999999999986,0.6000000000000227,3.7,151
108,12,29.5,66,22.5,1012.1,6.6,1203.0,0.0,2.1000000000000014,9,1.1000000000000014,0.3000000000000682,3.5,145
109,13,29.3,59,20.5,1011.9,9.9,1695.0,0.0,1.8000000000000007,14,2.8999999999999986,0.3000000000000682,5.5,141
110,14,31.2,52,20.2,1011.7,10.3,2272.0,0.0,2.6000000000000014,11,2.0,0.2999999999999545,6.6000000000000005,133
111,15,30.8,52,19.7,1011.0,9.3,2320.0,0.0,1.1999999999999993,8,2.3000000000000007,0.7000000000000455,5.700000000000001,121
112,16,30.3,56,20.4,1010.4,9.5,2245.0,0.0,0.8000000000000007,8,2.1000000000000014,0.6000000000000227,4.9,107
113,17,30.2,58,20.9,1009.7,9.5,2028.0,0.0,0.8999999999999986,5,1.1999999999999993,0.7999999999999545,5.5,98
114,18,29.9,60,21.4,1009.3,9.6,1716.0,0.0,0.5999999999999979,4,1.1999999999999993,0.3999999999999773,5.699999999999998,96
115,19,29.2,63,21.5,1009.3,8.2,1320.0,0.0,0.8000000000000007,5,0.8999999999999986,0.2999999999999545,5.199999999999998,103
116,20,28.1,70,22.1,1009.4,7.6,683.6,0.0,1.1999999999999993,7,0.6999999999999993,0.20000000000004547,4.5,102
117,21,27.2,76,22.5,1010.0,6.3,71.35,0.0,1.099999999999998,7,0.5,0.6000000000000227,4.1,90
118,22,27.2,77,22.8,1010.5,5.0,-3.54,0.0,0.3000000000000007,1,0.3000000000000007,0.5,2.9,96
119,23,26.8,79,23.0,1011.0,4.1,-3.54,0.0,0.3999999999999986,2,0.3999999999999986,0.6000000000000227,2.3,102
120,0,26.9,80,23.0,1011.8,3.9,-3.54,0.0,0.1999999999999993,2,0.1999999999999993,0.7999999999999545,2.2,105
121,1,26.7,79,22.7,1011.8,4.2,-3.22,0.0,0.3999999999999986,1,0.3999999999999986,0.10000000000002274,2.9000000000000004,103
122,2,26.8,78,22.6,1011.8,3.3,-3.41,0.0,0.3999999999999986,1,0.3000000000000007,0.1999999999999318,1.7999999999999998,104
123,3,27.0,78,22.9,1011.4,4.1,-3.15,0.0,0.3999999999999986,2,0.3999999999999986,0.3999999999999773,2.7,117
124,4,27.0,76,22.4,1010.9,4.4,-2.08,0.0,0.3000000000000007,3,0.5,0.5,2.4000000000000004,109
125,5,26.9,77,22.5,1010.3,4.8,-2.47,0.0,0.1999999999999993,2,0.20000000000000284,0.6000000000000227,3.3,132
126,6,25.6,83,22.4,1009.8,4.7,-3.29,0.0,1.2999999999999972,7,0.3999999999999986,0.5,3.6,196
127,7,24.9,87,22.6,1010.1,4.2,-3.52,0.2,0.7000000000000028,4,0.4000000000000021,0.3000000000000682,2.8000000000000003,183
128,8,24.5,88,22.3,1010.4,2.9,-3.35,0.0,0.3999999999999986,1,0.3000000000000007,0.3999999999999773,1.5,177
129,9,24.2,87,22.0,1010.5,3.2,5.688,0.0,0.4000000000000021,1,0.5,0.3000000000000682,2.0,181
130,10,25.8,81,22.2,1011.1,3.4,295.1,0.0,1.6000000000000014,7,0.6000000000000014,0.6000000000000227,1.6,180
131,11,27.5,67,20.8,1011.5,6.9,986.9,0.0,1.8000000000000007,15,1.5,0.3999999999999773,4.300000000000002,147
132,12,28.4,65,21.2,1011.4,8.0,1379.0,0.0,1.1999999999999993,7,1.3000000000000007,0.20000000000004547,4.8,148
133,13,29.0,61,20.6,1011.5,7.2,1857.0,0.0,1.2000000000000028,6,1.3000000000000007,0.10000000000002274,4.0,165
134,14,30.8,58,21.5,1010.7,6.9,2092.0,0.0,2.1000000000000014,8,1.400000000000002,0.7999999999999545,4.7,147
135,15,31.2,51,19.9,1009.9,8.5,1718.0,0.0,1.6999999999999993,9,2.6000000000000014,0.8000000000000682,5.1,170
136,16,31.5,48,19.0,1009.1,8.5,2024.0,0.0,1.599999999999998,9,2.1000000000000014,0.7999999999999545,5.2,116
137,17,31.2,57,21.5,1008.5,7.0,1802.0,0.0,1.2000000000000028,11,3.0999999999999983,0.6000000000000227,4.6,106
138,18,30.5,57,20.9,1008.1,6.9,1722.0,0.0,1.0,5,1.400000000000002,0.5,4.1000000000000005,98
139,19,29.7,59,20.8,1008.3,7.1,1272.0,0.0,1.0,5,1.0,0.1999999999999318,4.4,89
140,20,28.3,64,20.8,1008.5,7.2,688.1,0.0,1.3999999999999986,5,1.0,0.20000000000004547,4.4,89
141,21,27.2,71,21.5,1008.9,7.0,74.74,0.0,1.1999999999999993,8,0.8000000000000007,0.3999999999999773,4.9,100
142,22,27.0,73,21.7,1009.4,5.5,-3.54,0.0,0.5,2,0.1999999999999993,0.5,4.0,100
143,23,26.5,77,22.2,1010.1,4.2,-3.53,0.0,0.6000000000000014,4,0.5999999999999979,0.7000000000000455,3.3000000000000003,114
144,0,26.5,79,22.5,1010.7,2.9,-3.36,0.0,0.4000000000000021,2,0.5,0.6000000000000227,2.2,138
145,1,26.6,79,22.7,1010.7,3.2,-3.34,0.0,0.7000000000000028,3,0.5,0.1999999999999318,2.2,122
146,2,26.9,77,22.6,1010.8,5.3,-3.45,0.0,0.5,3,0.3000000000000007,0.1999999999999318,4.0,121
147,3,26.9,77,22.5,1010.5,4.4,-3.53,0.0,0.1999999999999993,1,0.1999999999999993,0.2999999999999545,2.9000000000000004,118
148,4,26.8,75,22.0,1010.2,4.7,-3.54,0.0,0.3999999999999986,3,0.6000000000000014,0.3999999999999773,3.2,127
149,5,25.3,83,22.2,1009.6,4.4,-3.52,0.0,1.5,8,0.3000000000000007,0.6000000000000227,3.4000000000000004,187
150,6,24.6,87,22.3,1009.3,1.7,-3.35,0.0,0.6999999999999993,4,0.3999999999999986,0.3000000000000682,1.2999999999999998,174
151,7,24.9,87,22.6,1009.5,2.9,-3.12,0.0,0.3999999999999986,1,0.4000000000000021,0.20000000000004547,1.5,170
152,8,24.8,82,21.5,1010.1,4.2,-3.12,0.0,0.3000000000000007,5,1.0,0.6000000000000227,2.5,171
153,9,24.1,78,20.1,1010.3,4.1,5.547999999999999,0.0,0.6999999999999993,4,1.5,0.1999999999999318,2.8,171
154,10,25.3,71,19.6,1010.6,4.3,300.9,0.0,1.3000000000000007,8,0.8000000000000007,0.3000000000000682,2.4,176
155,11,26.6,64,19.3,1011.1,7.2,994.9,0.0,1.3999999999999986,8,0.8999999999999986,0.5,4.2,166
156,12,27.9,60,19.5,1011.2,6.9,1373.0,0.0,1.3999999999999986,5,1.2000000000000028,0.10000000000002274,3.5000000000000004,169
157,13,29.6,55,19.5,1010.9,7.7,1933.0,0.0,2.200000000000003,10,1.7000000000000028,0.3000000000000682,4.9,164
158,14,30.5,51,19.2,1010.6,8.0,2183.0,0.0,1.2999999999999972,9,1.900000000000002,0.2999999999999545,5.1,131
159,15,30.8,48,18.5,1009.8,9.4,2271.0,0.0,1.599999999999998,6,1.5,0.8000000000000682,5.2,98
160,16,30.9,49,19.1,1009.1,9.5,2213.0,0.0,0.6999999999999993,6,1.8000000000000007,0.6999999999999318,4.7,108
161,17,30.3,49,18.5,1008.7,9.2,1998.0,0.0,1.5,6,1.8999999999999984,0.3999999999999773,5.6,108
162,18,30.6,49,18.6,1008.4,8.0,1537.0,0.0,1.3000000000000007,5,1.5,0.40000000000009095,4.5,110
163,19,30.1,54,19.6,1008.7,7.9,1319.0,0.0,0.8999999999999986,6,1.3000000000000007,0.3000000000000682,4.800000000000002,108
164,20,28.2,63,20.6,1009.2,7.8,660.9,0.0,1.900000000000002,10,1.2000000000000028,0.5,4.699999999999998,115
165,21,27.2,72,21.7,1009.5,6.5,72.58,0.0,1.0,9,1.1999999999999993,0.2999999999999545,4.4,111
166,22,27.0,74,21.9,1009.9,4.8,-3.54,0.0,0.3000000000000007,2,0.4000000000000021,0.3999999999999773,3.3,94
167,23,26.9,76,22.3,1010.2,4.7,-3.47,0.0,0.3000000000000007,2,0.5,0.3000000000000682,3.6,100
168,0,27.2,76,22.7,1010.7,3.9,-3.51,0.0,0.4000000000000021,1,0.5,0.5,2.6,120
169,1,27.2,78,23.0,1010.8,3.8,-3.14,0.0,0.3000000000000007,2,0.5,0.1999999999999318,2.5,119
170,2,27.3,81,23.8,1010.9,4.7,-2.9,0.0,0.3000000000000007,3,0.6999999999999993,0.10000000000002274,2.8000000000000003,101
171,3,27.2,79,23.3,1010.6,4.9,-3.01,0.0,0.2999999999999972,3,0.6999999999999993,0.2999999999999545,3.2,96
172,4,27.1,77,22.7,1010.1,5.8,-3.46,0.0,0.3000000000000007,4,0.5,0.5,3.8,102
173,5,26.8,81,23.4,1009.8,5.0,-3.48,0.2,0.3000000000000007,4,0.7999999999999972,0.3999999999999773,3.2,116
174,6,25.7,89,23.7,1009.5,7.5,-2.93,1.2,1.6999999999999993,8,1.3999999999999986,0.3999999999999773,6.8,134
175,7,25.3,89,23.4,1009.5,6.0,-2.78,0.2,0.6000000000000014,2,0.6999999999999993,0.20000000000004547,5.2,185
176,8,24.1,90,22.3,1010.1,8.8,-0.53,7.4,1.1999999999999993,2,1.3000000000000007,0.7000000000000455,6.200000000000001,112
177,9,24.3,91,22.8,1010.2,8.8,15.06,6.2,0.5,2,0.6999999999999993,0.2999999999999545,7.4,163
178,10,25.0,91,23.5,1010.9,4.1,172.7,0.4,0.8000000000000007,1,0.6000000000000014,0.6999999999999318,2.8,161
179,11,26.8,80,23.0,1011.4,5.6,545.8,0.0,1.8000000000000007,11,0.8999999999999986,0.5,3.3999999999999995,149
180,12,27.9,67,21.2,1011.7,7.7,1127.0,0.0,1.1999999999999993,15,2.5,0.3000000000000682,5.2,162
181,13,29.5,61,21.3,1011.7,7.3,1883.0,0.0,1.8000000000000007,10,1.3000000000000007,0.09999999999990904,4.199999999999998,161
182,14,30.8,57,21.4,1011.2,7.7,2281.0,0.0,1.5,8,1.3999999999999986,0.5,4.800000000000002,157
183,15,29.7,57,20.2,1010.8,7.3,1403.0,0.0,1.5,5,1.5,0.40000000000009095,4.699999999999998,150
184,16,30.8,57,21.2,1010.1,7.0,2178.0,0.0,1.599999999999998,7,1.6000000000000014,0.6999999999999318,4.7,134
185,17,30.5,56,20.6,1009.4,7.0,1636.0,0.0,1.2000000000000028,8,2.0,0.7000000000000455,3.9,102
186,18,30.2,55,20.1,1009.3,7.5,1711.0,0.0,0.6999999999999993,4,1.400000000000002,0.10000000000002274,4.1,101
187,19,29.8,55,19.8,1009.6,8.5,1313.0,0.0,0.7999999999999972,4,1.1000000000000014,0.3999999999999773,5.3,103
188,20,28.4,62,20.4,1010.2,7.1,709.1,0.0,1.400000000000002,7,1.1000000000000014,0.6000000000000227,3.5,95
189,21,27.1,71,21.3,1010.5,6.7,77.52,0.0,1.2999999999999972,9,1.0,0.2999999999999545,4.6,97
190,22,26.8,75,22.1,1011.0,4.8,-3.54,0.0,0.3000000000000007,4,0.8000000000000007,0.5,3.2,106
191,23,26.8,78,22.6,1011.2,3.8,-3.53,0.0,0.3000000000000007,3,0.6999999999999993,0.20000000000004547,2.7,83
192,0,26.7,80,23.0,1011.7,3.2,-3.3,0.0,0.3999999999999986,2,0.5,0.5,2.4000000000000004,104
193,23,26.8,77,22.4,1011.5,4.3,-3.54,0.0,0.3000000000000007,1,0.20000000000000284,0.3999999999999773,3.0,100
194,22,27.0,76,22.4,1011.1,4.6,-3.54,0.0,0.4000000000000021,1,0.1999999999999993,0.5,3.1,93
195,21,27.3,75,22.4,1010.6,6.8,73.64,0.0,1.1000000000000014,8,0.8999999999999986,0.3000000000000682,4.6,94
196,20,28.2,68,21.7,1010.3,6.8,674.3,0.0,1.3000000000000007,8,1.099999999999998,0.6999999999999318,3.9,100
197,19,29.5,60,20.8,1009.6,6.5,1297.0,0.0,0.6000000000000014,3,0.9000000000000021,0.3999999999999773,3.4,93
198,18,29.9,59,21.1,1009.3,8.2,1702.0,0.0,1.0,4,1.1999999999999993,0.2999999999999545,5.299999999999999,98
199,17,30.2,60,21.4,1009.4,7.7,2018.0,0.0,0.9000000000000021,6,1.3000000000000007,0.6000000000000227,4.4,101
200,16,30.8,56,21.0,1010.0,7.7,2285.0,0.0,0.9000000000000021,6,1.2999999999999972,0.7999999999999545,4.300000000000002,100
201,15,30.9,55,20.7,1010.8,7.7,2165.0,0.0,1.6000000000000014,8,2.5,0.5999999999999089,4.0,106
202,14,30.8,52,19.7,1011.3,8.1,2279.0,0.0,1.1000000000000014,9,2.1999999999999997,0.40000000000009095,5.1,127
203,13,30.0,58,20.8,1011.7,7.1,1344.0,0.0,1.5,7,1.7000000000000028,0.2999999999999545,4.8,151
204,12,28.8,64,21.4,1011.9,7.5,770.9,0.0,1.400000000000002,8,1.6999999999999993,0.20000000000004547,4.7,132
205,11,28.1,71,22.3,1011.9,6.0,928.1,0.0,2.599999999999998,11,0.6999999999999993,0.5,3.1,161
206,10,25.6,81,22.1,1011.4,2.6,187.6,0.0,0.8000000000000007,1,0.5999999999999979,0.6000000000000227,1.2000000000000002,187
207,9,24.8,82,21.7,1010.8,2.8,6.097,0.0,0.5,2,0.2999999999999972,0.2999999999999545,1.7999999999999998,174
208,8,25.1,82,21.8,1010.6,4.0,-3.37,0.0,1.599999999999998,7,0.1999999999999993,0.5,2.9,193
209,7,26.7,75,21.8,1010.1,5.7,-1.33,0.0,0.5,4,0.8999999999999986,0.1999999999999318,3.9,150
210,6,27.0,78,22.8,1010.3,5.5,-2.28,0.0,0.3000000000000007,3,0.5,0.1999999999999318,3.2,126
