,hora,temp_inst,umid_inst,pto_orvalho_inst,pressao,vento_rajada,radiacao,precipitacao,vento_vel,diff_temp,diff_umid,diff_dew,diff_pressure,diff_wind
41,17,30.8,51,19.6,1007.9,10.1,2052.0,0.0,99,0.8000000000000007,5,2.0,0.8000000000000682,5.5
42,18,30.3,54,20.1,1007.9,8.9,1742.0,0.0,109,0.8000000000000007,6,1.0,0.10000000000002274,5.300000000000001
43,19,30.2,58,21.0,1008.2,7.8,1290.0,0.0,101,0.7000000000000028,5,1.2000000000000028,0.3000000000000682,5.1
44,20,28.6,67,21.8,1008.2,6.4,680.9,0.0,95,1.5999999999999979,10,1.1999999999999993,0.10000000000002274,3.5000000000000004
45,21,27.4,75,22.7,1008.9,6.2,70.17,0.0,95,1.2000000000000028,8,0.8999999999999986,0.6999999999999318,4.4
46,22,26.9,79,23.0,1009.5,4.0,-3.53,0.0,101,0.5999999999999979,5,0.5,0.6000000000000227,2.8
47,23,26.5,81,23.1,1010.0,3.0,-3.53,0.0,138,0.3999999999999986,2,0.3000000000000007,0.5,2.3
48,0,25.6,86,23.1,1010.5,1.7,-3.54,0.0,178,1.0,5,0.3000000000000007,0.5,1.2
49,1,25.3,88,23.2,1010.8,1.2,-3.15,0.0,213,0.3000000000000007,2,0.40000000000000213,0.2999999999999545,1.0999999999999999
50,2,25.8,88,23.6,1010.9,1.4,-0.69,0.0,207,0.5,1,0.3000000000000007,0.10000000000002274,0.7999999999999999
51,3,26.3,86,23.7,1010.5,2.0,-2.57,0.0,158,0.5,2,0.09999999999999787,0.39999999999997726,1.6
52,4,26.0,86,23.4,1010.1,2.6,-3.03,0.0,151,0.40000000000000213,1,0.20000000000000284,0.39999999999997726,2.2
53,5,26.4,80,22.6,1009.8,4.3,-3.48,0.0,132,0.8000000000000007,7,1.0,0.3000000000000682,2.9
54,6,25.4,85,22.6,1009.8,4.6,-3.53,0.0,159,1.0999999999999979,5,0.1999999999999993,0.09999999999990905,3.8
55,7,24.6,87,22.4,1009.9,2.3,-3.47,0.0,173,0.8999999999999986,3,0.3999999999999986,0.10000000000002274,1.5999999999999999
56,8,24.8,86,22.3,1010.4,2.7,-3.48,0.0,178,0.29999999999999716,2,0.3000000000000007,0.5,1.5000000000000002
57,9,24.4,86,22.0,1010.7,2.8,3.011,0.0,182,0.6000000000000014,1,0.5,0.3000000000000682,1.2999999999999998
58,10,26.1,79,22.2,1011.6,4.3,278.7,0.0,165,1.7000000000000028,7,0.5,0.8999999999999773,2.4
59,11,27.8,70,21.9,1012.3,6.6,993.0,0.0,154,1.6999999999999993,9,0.6000000000000014,0.6999999999999318,3.6999999999999997
60,12,28.3,69,22.2,1012.9,7.7,1315.0,0.0,163,0.6999999999999993,3,0.6999999999999993,0.6000000000000227,3.9000000000000004
61,13,29.5,59,20.8,1013.0,8.4,1735.0,0.0,155,1.7999999999999972,11,2.1999999999999993,0.20000000000004547,4.800000000000001
62,14,29.9,54,19.6,1012.7,9.1,2195.0,0.0,133,1.1000000000000014,9,2.0,0.39999999999997726,6.0
63,15,31.0,55,20.8,1011.6,8.7,2046.0,0.0,130,1.3999999999999986,7,1.5999999999999979,1.1000000000000227,5.6
64,16,30.3,60,21.5,1010.9,7.3,1431.0,0.0,102,1.9000000000000021,10,1.3000000000000007,0.7000000000000455,3.9
65,17,30.0,61,21.8,1010.1,7.2,1605.0,0.0,111,1.5,7,1.0,0.6999999999999318,4.300000000000001
66,18,29.9,58,20.9,1009.8,6.9,1681.0,0.0,100,1.0,5,1.5,0.39999999999997726,4.300000000000001
67,19,29.7,61,21.4,1009.7,5.5,1148.0,0.0,104,1.0999999999999979,5,1.0,0.1999999999999318,2.9
68,20,28.6,66,21.5,1009.9,6.0,601.4,0.0,95,1.1999999999999993,5,0.5999999999999979,0.2999999999999545,3.9
69,21,27.2,73,22.0,1010.2,5.7,62.99,0.0,89,1.3000000000000007,7,0.5,0.3000000000000682,4.2
70,22,26.7,77,22.4,1010.8,4.9,-3.54,0.0,106,0.6999999999999993,4,0.3999999999999986,0.599999999999909,3.6000000000000005
71,23,26.1,81,22.6,1011.5,3.1,-3.54,0.0,100,0.6999999999999993,4,0.3999999999999986,0.7000000000000455,2.0
72,0,26.7,79,22.8,1012.2,3.6,-3.53,0.0,97,0.5999999999999979,2,0.1999999999999993,0.7000000000000455,2.0
73,1,27.2,78,23.0,1012.6,5.7,-3.5,0.0,99,0.5999999999999979,2,0.3000000000000007,0.39999999999997726,3.4000000000000004
74,2,27.0,78,22.9,1012.6,6.5,-3.53,0.0,108,0.3999999999999986,1,0.3999999999999986,0.10000000000002274,4.2
75,3,26.8,78,22.6,1012.2,5.2,-3.53,0.0,113,0.40000000000000213,1,0.5,0.5,3.1
76,4,26.8,78,22.6,1011.7,4.4,-2.83,0.0,137,0.3999999999999986,2,0.1999999999999993,0.599999999999909,2.6000000000000005
77,5,25.2,85,22.6,1011.0,3.9,-3.24,0.0,198,1.6000000000000014,8,0.3000000000000007,0.7000000000000455,3.0
78,6,24.7,87,22.4,1010.9,2.7,-3.44,0.0,186,0.6000000000000014,2,0.40000000000000213,0.10000000000002274,1.6
79,7,24.5,88,22.3,1010.9,2.7,-3.19,0.0,183,0.3000000000000007,1,0.3000000000000007,0.10000000000002274,1.2000000000000002
80,8,24.1,87,21.9,1011.5,3.5,-3.52,0.0,185,0.5999999999999979,2,0.5999999999999979,0.6000000000000227,2.3
81,9,24.1,87,21.8,1011.9,2.9,5.21,0.0,177,0.3000000000000007,1,0.1999999999999993,0.39999999999997726,1.5
82,10,25.7,81,22.1,1012.9,5.1,275.0,0.0,179,1.5999999999999979,6,0.5999999999999979,1.0,2.6999999999999997
83,11,27.4,72,22.0,1013.6,5.9,1003.0,0.0,152,1.8000000000000007,9,0.8999999999999986,0.8000000000000682,3.1000000000000005
84,12,28.0,68,21.6,1014.1,6.4,1171.0,0.0,160,1.2000000000000028,6,1.0,0.5,3.4000000000000004
85,13,28.3,65,21.2,1014.0,7.8,1494.0,0.0,167,1.8000000000000007,8,1.8000000000000007,0.10000000000002274,5.199999999999999
86,14,30.3,58,21.1,1013.4,6.8,1726.0,0.0,137,2.3000000000000007,10,1.6999999999999993,0.7000000000000455,3.6999999999999997
87,15,29.3,62,21.3,1012.4,7.4,1375.0,0.0,124,2.0,7,1.6999999999999993,1.0,4.1000000000000005
88,16,29.8,60,21.2,1011.3,8.1,1630.0,0.0,107,2.1000000000000014,8,1.3999999999999986,1.1000000000000227,4.6
89,17,30.0,61,21.6,1010.4,8.2,1709.0,0.0,112,1.3999999999999986,5,1.1999999999999993,0.8999999999999773,4.499999999999999
90,18,29.9,61,21.5,1010.0,7.6,1654.0,0.0,107,1.1000000000000014,4,1.0,0.39999999999997726,4.6
91,19,29.2,63,21.3,1009.9,6.8,1294.0,0.0,96,0.8000000000000007,5,0.8999999999999986,0.20000000000004547,3.9
92,20,28.1,68,21.5,1010.2,6.3,668.6,0.0,99,1.2999999999999972,6,0.5,0.3000000000000682,3.5
93,21,27.0,74,22.0,1010.5,6.4,69.13,0.0,99,1.1000000000000014,6,0.6000000000000014,0.2999999999999545,4.800000000000001
94,22,26.8,77,22.4,1011.0,4.3,-3.54,0.0,84,0.6000000000000014,3,0.29999999999999716,0.5,3.0
95,23,26.4,79,22.5,1011.6,3.8,-3.54,0.0,102,0.5,2,0.40000000000000213,0.6000000000000227,2.4
96,0,26.2,81,22.7,1012.1,3.8,-3.53,0.0,102,0.5,3,0.3000000000000007,0.5,2.5999999999999996
97,1,26.1,82,22.8,1012.3,3.7,-3.53,0.0,103,0.29999999999999716,2,0.29999999999999716,0.2999999999999545,2.5
